Feature,Importance
V258,390654.2578324005
card1,197088.5927150119
C14,168166.10462326556
TransactionAmt,159718.32600975223
TransactionID,152650.86039887276
card2,146862.59969297145
V294,146222.73229188472
addr1,124361.31981777865
C13,94685.76562036946
C1,93003.35312616173
D2,88273.25172032416
V91,80308.24387995154
D15,74940.87379715778
C8,63161.63892263174
V70,62716.261904105544
R_emaildomain,61954.39611219708
card5,58849.74878687598
D1,54782.250186849385
D10,53539.21277964674
D4,52522.92928408645
V308,52385.63073370606
P_emaildomain,50018.5110755926
card6,47859.54132780153
C11,47204.60423250683
C2,45260.524819508195
dist1,42388.4610948842
C5,41902.59615538269
C6,40942.01340414584
C9,30793.424836181104
D3,29850.08791604452
D11,28876.58825202193
id_20,28315.65474769473
id_02,28282.470849098638
V310,24151.128830393776
TransactionDT,23788.2331806235
id_31,23658.42791624926
card3,21696.618201091886
id_19,21185.535503510386
ProductCD,21046.585686537437
V313,20680.000561252236
V188,19788.214880883694
DeviceInfo,19482.432691439986
M5,18819.944760501385
M4,16270.357534125447
M6,16095.38133597374
C4,16006.914631903172
V285,15525.983211994171
V45,14188.815148349851
id_06,13857.752734802663
V314,13855.537777680904
